;Challenges;Challenges won, %;Attacking challenges;Air challenges;Air challenges won, %;Tackles;Ball interceptions;Free ball pick ups;Challenges won;Defensive challenges;Defensive challenges won;Challenges in defence won, %;Attacking challenges won;Challenges in attack won, %;Air challenges won;Tackles successful;Tackles won, %;Defensive xG (xG of shots made by guarded player);Defensive xG per shot;Yellow cards;Red cards;Fouls
Jorge Teixeira;191;66 %;36;85;65 %;38;160;185;126;155;98;63 %;28;78 %;55;23;61 %;2,1;0,08;3;-;14
Timothy Derijck;158;63 %;28;59;64 %;36;118;96;100;130;77;59 %;23;82 %;38;19;53 %;3,9;0,12;6;-;10
R. De Laet;376;63 %;134;100;59 %;93;188;186;235;242;166;69 %;69;51 %;59;69;74 %;2,1;0,08;10;1;23
Jordi Amat;271;65 %;60;85;55 %;64;180;165;175;211;136;64 %;39;65 %;47;47;73 %;2,8;0,1;6;2;19
M. Dyrestam;62;52 %;15;30;63 %;7;47;32;32;47;25;53 %;7;47 %;19;2;29 %;0,45;0,06;1;-;4
Pierre Bourdin;291;50 %;65;103;51 %;62;134;115;146;226;125;55 %;21;32 %;53;34;55 %;3,1;0,12;7;-;25
T. Leistner;344;68 %;73;136;69 %;72;191;195;234;271;190;70 %;44;60 %;94;50;69 %;3,9;0,13;6;1;41
T. Sainsbury;351;69 %;53;144;67 %;65;302;172;243;298;201;67 %;42;79 %;96;41;63 %;6;0,1;7;-;19
Molla Wague;40;63 %;5;22;59 %;3;21;14;25;35;23;66 %;2;40 %;13;1;33 %;0,02;0,02;-;-;3
Jonathan Buatu;86;65 %;21;33;61 %;24;48;52;56;65;43;66 %;13;62 %;20;18;75 %;0,44;0,06;-;-;4
Frederic Frans;61;56 %;21;31;55 %;12;34;24;34;40;24;60 %;10;48 %;17;5;42 %;0,09;0,02;2;1;10
Noe Dussenne;313;65 %;67;119;72 %;70;194;139;203;246;172;70 %;31;46 %;86;43;61 %;2;0,09;7;1;25
P. Ngawa;210;62 %;30;73;66 %;57;80;89;130;180;112;62 %;18;60 %;48;37;65 %;3,2;0,1;4;-;19
Benjamin Boulenger;242;62 %;69;87;52 %;48;140;108;150;173;107;62 %;43;62 %;45;28;58 %;1,68;0,09;7;2;24
B. Poulain;8;63 %;1;3;67 %;1;5;7;5;7;5;71 %;-;-;2;1;100 %;-;-;-;-;-
Jonathan Steve Heris;426;69 %;98;107;59 %;129;186;171;296;328;223;68 %;73;74 %;63;97;75 %;2,2;0,09;3;-;30
S. Dewaest;376;68 %;74;127;68 %;82;194;186;255;302;212;70 %;43;58 %;86;56;68 %;4,1;0,09;6;1;39
Lisandro Magallan;234;67 %;50;100;61 %;42;122;107;156;184;121;66 %;35;70 %;61;30;71 %;1,64;0,11;4;-;30
Konstantinos Laifis;241;61 %;31;102;69 %;50;155;133;148;210;128;61 %;20;65 %;70;26;52 %;2,2;0,1;3;-;19
Bjorn Lionel Engels;191;69 %;52;106;67 %;22;111;90;132;139;100;72 %;32;62 %;71;17;77 %;2,4;0,11;2;1;13
Matej Mitrovic;43;74 %;8;23;70 %;6;32;24;32;35;27;77 %;5;63 %;16;6;100 %;0,16;0,08;-;-;3
Dario Del Fabro;146;55 %;21;76;51 %;16;77;43;81;125;71;57 %;10;48 %;39;9;56 %;2,8;0,12;2;-;10
S. Bateau;138;64 %;19;59;61 %;23;91;94;89;119;74;62 %;15;79 %;36;19;83 %;2,7;0,11;4;-;15
Jordi Vanlerberghe;438;61 %;80;168;57 %;98;239;213;267;358;214;60 %;53;66 %;95;57;58 %;4,4;0,11;6;-;15
Dorian Dessoleil;311;59 %;51;130;54 %;52;182;163;184;260;151;58 %;33;65 %;70;31;60 %;2,7;0,08;2;-;18
Thibaut Peyre;221;67 %;27;90;64 %;42;140;104;149;194;133;69 %;16;59 %;58;30;71 %;2,7;0,11;1;2;13
Lucas Rougeaux;168;67 %;65;60;77 %;31;81;74;112;103;67;65 %;45;69 %;46;18;58 %;1,25;0,1;7;-;21
Bruno Godeau;148;61 %;26;48;56 %;29;94;91;90;122;75;61 %;15;58 %;27;17;59 %;0,63;0,08;5;-;16
M. Ngadeu-Ngadjui;400;72 %;109;169;73 %;64;245;221;286;291;206;71 %;80;73 %;124;42;66 %;2,7;0,08;4;-;21
C. Burgess;531;70 %;85;237;70 %;101;258;221;372;446;316;71 %;56;66 %;167;70;69 %;4,5;0,13;10;-;35
Brandon Mechele;467;69 %;78;187;71 %;104;279;219;323;389;278;71 %;45;58 %;132;68;65 %;3,8;0,09;2;-;28
M. Bokadi;246;60 %;101;71;65 %;42;116;141;147;145;87;60 %;60;59 %;46;25;60 %;0,84;0,08;4;-;14
W. Hoedt;427;68 %;76;191;66 %;61;315;275;291;351;244;70 %;47;62 %;126;38;62 %;3,4;0,1;8;1;34
Steven Fortes;232;69 %;38;79;70 %;46;178;124;159;194;136;70 %;23;61 %;55;34;74 %;3,5;0,15;3;2;13
A. Hanche-Olsen;458;68 %;132;121;72 %;105;208;210;313;326;228;70 %;85;64 %;87;77;73 %;2,4;0,08;5;-;30
C. Humphreys;233;63 %;54;59;71 %;65;170;124;147;179;113;63 %;34;63 %;42;38;58 %;3,3;0,1;5;1;14
M. Lemos;118;66 %;29;43;72 %;29;75;73;78;89;59;66 %;19;66 %;31;18;62 %;2,1;0,14;2;-;7
Joost van Wang Aken;6;17 %;-;1;-;4;6;3;1;6;1;17 %;-;-;-;1;25 %;0,03;0,03;1;1;6
Robert Bauer;229;70 %;50;58;67 %;73;139;173;160;179;127;71 %;33;66 %;39;51;70 %;2,1;0,11;4;1;25
Jordan Torunarigha;145;68 %;48;32;59 %;29;66;47;99;97;69;71 %;30;63 %;19;24;83 %;1,13;0,23;1;-;5
Dario Van den Buijs;35;69 %;4;12;92 %;9;22;22;24;31;21;68 %;3;75 %;11;6;67 %;0,3;0,1;-;-;3
S. Chakla;231;63 %;58;64;59 %;61;101;97;146;173;116;67 %;30;52 %;38;42;69 %;1,5;0,08;-;1;20
